Item,Frequency,Category
tinker shuffle,1,Short Phrase
part woman,1,Dance-Related
lonely place,1,Dance-Related
most gently,1,Short Phrase
move most,1,Dance-Related
men recall,1,Short Phrase
topless towers,1,Short Phrase
eyes fixed,1,Dance-Related
distant post,1,Short Phrase
great battle,1,Short Phrase
tether,1,Single Word
baying,1,Single Word
awake,1,Single Word
turkish,1,Single Word
meditative,1,Single Word
copied,1,Single Word
panniered,1,Single Word
glide,1,Dance-Related
venetian,1,Single Word
learned,1,Single Word
face,1,Single Word
religious,1,Single Word
best away,1,Short Phrase
hand moves,1,Dance-Related
distant,1,Single Word
rib laughed,1,Short Phrase
west wind,1,Short Phrase
upland caught,1,Dance-Related
bear no,1,Short Phrase
monstrous crying,1,Short Phrase
healthy flesh,1,Short Phrase
as healthy,1,Short Phrase
have as healthy flesh,1,Long Phrase
have as,1,Short Phrase
neighbouring mind,1,Dance-Related
exchange opinion,1,Short Phrase
wind afraid,1,Short Phrase
north wind,1,Short Phrase
wind made,1,Short Phrase
wind despair,1,Short Phrase
topless,1,Single Word
east wind,1,Short Phrase
wind brought,1,Short Phrase
south wind,1,Short Phrase
poplar shade,1,Dance-Related
norman upland,1,Dance-Related
come unsought,1,Short Phrase
thing surely,1,Dance-Related
strange thing,1,Dance-Related
picked,1,Single Word
thinks,1,Dance-Related
recall,1,Single Word
burnt,1,Single Word
try,1,Single Word
living creature,1,Short Phrase
creature knows,1,Short Phrase
outdanced thought,1,Dance-Related
so stretched,1,Short Phrase
so wrought,1,Short Phrase
contemplation had,1,Short Phrase
yet seemed,1,Dance-Related
moved yet,1,Dance-Related
minute particulars,1,Short Phrase
ear silence,1,Short Phrase
perfection brought,1,Short Phrase
fifteenth,1,Single Word
lashed,1,Single Word
unknown,1,Single Word
body perfection,1,Short Phrase
little peace,1,Short Phrase
unremembering nights hold fast,1,Dance-Related
motionless,1,Single Word
things unloved,1,Dance-Related
things loved,1,Dance-Related
never moved,1,Dance-Related
erect,1,Single Word
moonlit,1,Single Word
eyeballs never,1,Dance-Related
unloved,1,Dance-Related
moonlit eyeballs never moved,1,Dance-Related
moonlit eyeballs,1,Dance-Related
head erect,1,Dance-Related
motionless head,1,Dance-Related
unremembering nights,1,Short Phrase
nights hold,1,Dance-Related
things known,1,Dance-Related
constrained,1,Single Word
right,1,Dance-Related
lifted,1,Single Word
solider,1,Single Word
suddenly,1,Single Word
obey,1,Single Word
abstract,1,Single Word
magical,1,Single Word
knowing,1,Single Word
jointed,1,Single Word
unbent,1,Single Word
baffled,1,Single Word
arraigned,1,Single Word
pounded,1,Single Word
hold fast,1,Dance-Related
particular,1,Single Word
blank,1,Single Word
vanished,1,Single Word
ruined house,1,Short Phrase
rewarded thus,1,Short Phrase
western seas,1,Short Phrase
dark moon,1,Short Phrase
burning town,1,Short Phrase
never gave,1,Short Phrase
pulses beat,1,Dance-Related
crazy juice,1,Short Phrase
flying fling,1,Short Phrase
things unknown,1,Dance-Related
eyes lit,1,Short Phrase
heavy rings,1,Dance-Related
moon burned,1,Short Phrase
uncoiled,1,Single Word
wept,1,Single Word
fast,1,Single Word
pulled,1,Single Word
living,1,Single Word
shape,1,Single Word
footsteps go,1,Dance-Related
music flow,1,Dance-Related
silence wrought,1,Short Phrase
gentle silence,1,Short Phrase
cloudy rim,1,Dance-Related
burned dim,1,Short Phrase
pale cup,1,Short Phrase
unfold,1,Single Word
rub,1,Single Word
undone,1,Dance-Related
drowsy thought,1,Short Phrase
dim powers,1,Short Phrase
flaming wings,1,Short Phrase
old care,1,Short Phrase
harmonious choir,1,Short Phrase
western,1,Single Word
windy fire,1,Dance-Related
falling wave,1,Short Phrase
glimmering deep,1,Short Phrase
rings uncoiled,1,Short Phrase
harmonious,1,Single Word
cover,1,Single Word
fifteenth night,1,Short Phrase
fingers never,1,Dance-Related
dancing dreamed,1,Dance-Related
life away,1,Dance-Related
woman breast,1,Dance-Related
suddenly saw,1,Short Phrase
so dead,1,Short Phrase
so abstract,1,Short Phrase
magical breath,1,Short Phrase
hidden magical,1,Short Phrase
jointed jaws,1,Short Phrase
life began,1,Dance-Related
own will,1,Short Phrase
never still,1,Short Phrase
blank eyes,1,Short Phrase
unremembering,1,Single Word
still hides,1,Short Phrase
new still,1,Short Phrase
old moon,1,Short Phrase
cold spirits,1,Short Phrase
quiet eyed,1,Short Phrase
outdanced,1,Dance-Related
cloudy,1,Dance-Related
silence,1,Single Word
stop,1,Single Word
twere,1,Single Word
stretched,1,Single Word
drowsy,1,Single Word
turkish trousers,1,Short Phrase
meditative critic,1,Short Phrase
skirt copied,1,Short Phrase
sheer,1,Single Word
worst,1,Single Word
future,1,Single Word
outlive,1,Single Word
ripening,1,Single Word
public,1,Single Word
bribe,1,Single Word
blame,1,Single Word
pretty,1,Single Word
olive,1,Single Word
ornamental,1,Single Word
pitches,1,Single Word
protected,1,Single Word
ingenious,1,Single Word
unlearned,1,Single Word
red combs,1,Short Phrase
peacock feathers,1,Short Phrase
bronzed peacock,1,Short Phrase
insolent fiend,1,Short Phrase
pale locks,1,Short Phrase
stupid straw,1,Short Phrase
great eyes,1,Short Phrase
lurches past,1,Short Phrase
dust settles,1,Short Phrase
wind drops,1,Short Phrase
now wind,1,Short Phrase
angry cries,1,Short Phrase
drawn,1,Single Word
showy,1,Single Word
dare touch,1,Short Phrase
mighty,1,Single Word
mythological,1,Single Word
moralist,1,Single Word
instead,1,Single Word
platonic,1,Single Word
furious,1,Single Word
fallen,1,Single Word
enwound,1,Single Word
chinese,1,Dance-Related
admit,1,Single Word
dared,1,Single Word
vanishes,1,Single Word
loves,1,Single Word
spent,1,Single Word
burst,1,Single Word
shallow,1,Single Word
unmanned,1,Dance-Related
fighting,1,Single Word
planned,1,Single Word
pieced,1,Single Word
sweat,1,Single Word
crawl,1,Single Word
murdered,1,Single Word
drunken,1,Dance-Related
ridden,1,Single Word
prance,1,Single Word
lack,1,Single Word
amorous cries,1,Short Phrase
hand dare,1,Dance-Related
troubled,1,Single Word
breast thrust,1,Short Phrase
afflict mankind,1,Dance-Related
mischief seemed,1,Dance-Related
life imagined,1,Dance-Related
laborious life,1,Dance-Related
bring wildness,1,Short Phrase
desolate heaven,1,Short Phrase
lucky death,1,Short Phrase
habit sticks,1,Short Phrase
ancient habit,1,Short Phrase
secret meditation,1,Short Phrase
own secret,1,Short Phrase
approaching night,1,Short Phrase
half spread,1,Short Phrase
had such,1,Short Phrase
wings half,1,Short Phrase
brief gleam,1,Short Phrase
mirror show,1,Short Phrase
troubled mirror,1,Short Phrase
solitary soul,1,Short Phrase
mythological poet,1,Short Phrase
barbarous clangour,1,Dance-Related
old instead,1,Short Phrase
new right,1,Dance-Related
furious path,1,Short Phrase
own furious,1,Short Phrase
floating ribbon,1,Short Phrase
winter blow,1,Short Phrase
such burdens,1,Short Phrase
crazy hand dare touch,1,Dance-Related
handsome riders,1,Dance-Related
crazy hand,1,Dance-Related
dusty wind,1,Short Phrase
sudden blast,1,Short Phrase
returned again,1,Dance-Related
gathers head,1,Dance-Related
evil gathers,1,Dance-Related
running round,1,Dance-Related
tumble,1,Single Word
wearied running,1,Dance-Related
tossing mane,1,Dance-Related
sensitive ear,1,Short Phrase
delicate sensitive,1,Short Phrase
foul storm,1,Short Phrase
toiled so,1,Dance-Related
help good,1,Dance-Related
hand maybe,1,Dance-Related
fancied goodness,1,Dance-Related
seasons run,1,Dance-Related
never saw,1,Short Phrase
aching eyes,1,Short Phrase
old aching,1,Short Phrase
fixed old aching eyes,1,Dance-Related
fixed old,1,Dance-Related
calendars whereon,1,Short Phrase
levelling wind,1,Short Phrase
monument behind,1,Short Phrase
solitary,1,Single Word
brief,1,Single Word
panniered skirt,1,Short Phrase
had more,1,Dance-Related
heart denies,1,Dance-Related
men wild,1,Short Phrase
talk men,1,Short Phrase
barbarous crowd,1,Short Phrase
have beauty,1,Short Phrase
limb have,1,Short Phrase
scores beside,1,Short Phrase
are scores,1,Short Phrase
no matter,1,Short Phrase
imperious way,1,Short Phrase
poor luck,1,Short Phrase
more charm,1,Dance-Related
laughing eye,1,Short Phrase
proud look,1,Short Phrase
night applaud,1,Short Phrase
young men,1,Short Phrase
surpassing womankind,1,Dance-Related
girl trodden,1,Short Phrase
sprightly girl,1,Dance-Related
unblemished lineaments,1,Short Phrase
such praises,1,Short Phrase
holidays such,1,Short Phrase
everlasting,1,Single Word
cries,1,Single Word
vain,1,Single Word
kissing,1,Dance-Related
exact likeness,1,Short Phrase
burning sun,1,Short Phrase
pull,1,Single Word
beside,1,Single Word
red shoes,1,Short Phrase
venetian lady,1,Short Phrase
old courtesies,1,Short Phrase
priest say,1,Dance-Related
religious festival,1,Short Phrase
tittle,1,Single Word
exact,1,Single Word
denies,1,Single Word
talk,1,Single Word
walk,1,Single Word
pick,1,Single Word
boasts,1,Single Word
imperious,1,Single Word
shapely body,1,Short Phrase
flings,1,Single Word
laughing,1,Single Word
applaud,1,Single Word
blemish,1,Single Word
surpassing,1,Dance-Related
trodden,1,Single Word
sprightly,1,Dance-Related
unblemished,1,Single Word
lonely thing,1,Dance-Related
most lonely,1,Dance-Related
gone astray,1,Dance-Related
tittle gone,1,Dance-Related
silent,1,Single Word
smokes,1,Single Word
play,1,Single Word
behind,1,Single Word
delicate,1,Single Word
garlanded,1,Dance-Related
handsome,1,Dance-Related
few,1,Single Word
foul,1,Single Word
bar,1,Single Word
shrieked,1,Single Word
proclaim,1,Single Word
fancied,1,Single Word
gape,1,Single Word
aching,1,Single Word
levelling,1,Single Word
late,1,Single Word
wearied,1,Single Word
toiled,1,Dance-Related
talked,1,Single Word
pated,1,Single Word
afflict,1,Single Word
mend,1,Single Word
laborious,1,Single Word
desolate,1,Single Word
leaped,1,Dance-Related
lucky,1,Single Word
affirms,1,Single Word
approaching,1,Single Word
ride,1,Single Word
sensitive,1,Single Word
returned,1,Dance-Related
onyx eyes,1,Short Phrase
bring roses,1,Short Phrase
wisdom shut,1,Short Phrase
taper lights,1,Short Phrase
everlasting taper,1,Short Phrase
still cries,1,Short Phrase
cataract still,1,Short Phrase
wine unwet,1,Short Phrase
foot silent,1,Short Phrase
bring fiddle,1,Short Phrase
mountain side,1,Short Phrase
cataract smokes,1,Short Phrase
be yet,1,Short Phrase
rose be,1,Short Phrase
have pride,1,Short Phrase
touch,1,Single Word
still have,1,Short Phrase
manhood still have pride,1,Dance-Related
manhood still,1,Dance-Related
bronzed,1,Single Word
insolent,1,Single Word
stupid,1,Single Word
lurches,1,Single Word
thereupon,1,Single Word
settles,1,Single Word
drops,1,Single Word
according,1,Single Word
stolen,1,Single Word
amorous,1,Single Word
unquiet lands,1,Dance-Related
reddest,1,Single Word
last unhaunted,1,Short Phrase
heaped,1,Single Word
prudent,1,Single Word
wandered,1,Single Word
quicken,1,Single Word
poured,1,Single Word
silken,1,Single Word
dancer miss,1,Dance-Related
crowned dancer,1,Dance-Related
reedy cry,1,Short Phrase
taken man,1,Dance-Related
turbaned steep,1,Short Phrase
unhaunted sleep,1,Short Phrase
mood away,1,Short Phrase
old silence,1,Short Phrase
angry mood,1,Short Phrase
fine angry mood away,1,Long Phrase
fine angry,1,Short Phrase
tale drove,1,Short Phrase
trouble dies,1,Dance-Related
feeling wraps,1,Short Phrase
gentle feeling,1,Short Phrase
strewn rose,1,Short Phrase
leafage cool,1,Short Phrase
calm brows,1,Short Phrase
folk rejoice,1,Short Phrase
lonely folk,1,Dance-Related
plashy,1,Dance-Related
muddy,1,Single Word
somewhere,1,Single Word
dwelt,1,Single Word
wander now,1,Short Phrase
fellow there,1,Short Phrase
old fellow,1,Short Phrase
one turned,1,Dance-Related
bless,1,Single Word
leans,1,Single Word
cry,1,Single Word
reedy,1,Single Word
spired,1,Single Word
steep,1,Single Word
turbaned,1,Single Word
vapour,1,Single Word
unhaunted,1,Single Word
wraps,1,Single Word
strewn,1,Single Word
fades,1,Single Word
cool,1,Single Word
calm,1,Single Word
chaplet,1,Single Word
bids,1,Single Word
unneeded,1,Single Word
drunk,1,Dance-Related
fail,1,Single Word
awakens,1,Single Word
exulting,1,Single Word
silence bids,1,Short Phrase
unneeded voice,1,Short Phrase
faery,1,Single Word
pierce,1,Single Word
little silver,1,Dance-Related
poured fish,1,Short Phrase
man poured,1,Dance-Related
sleepy care,1,Short Phrase
earth made,1,Short Phrase
silken dress,1,Short Phrase
hung all,1,Short Phrase
heart hung,1,Dance-Related
dishevelled,1,Single Word
brood,1,Dance-Related
aside,1,Single Word
fears,1,Single Word
drive,1,Single Word
grass growing,1,Short Phrase
wandering stars,1,Dance-Related
dishevelled wandering,1,Dance-Related
dim sea,1,Short Phrase
white breast,1,Short Phrase
brazen cars,1,Short Phrase
bitter mystery,1,Short Phrase
turn aside,1,Dance-Related
more turn,1,Dance-Related
tender eyelids,1,Short Phrase
russet brow,1,Short Phrase
level shore,1,Short Phrase
woven shade,1,Dance-Related
silver heads,1,Dance-Related
twilight sheds,1,Short Phrase
beloved isle,1,Short Phrase
people love,1,Short Phrase
small knot,1,Short Phrase
deep earth,1,Short Phrase
country tale,1,Short Phrase
sudden vengeance,1,Short Phrase
more wise,1,Dance-Related
leafy tunes,1,Dance-Related
awakens leafy,1,Dance-Related
falls awakens leafy tunes,1,Dance-Related
falls awakens,1,Short Phrase
fruitage makes,1,Short Phrase
blessed skies,1,Short Phrase
times blessed,1,Short Phrase
gentle race,1,Short Phrase
muddy mouth,1,Short Phrase
plashy place,1,Dance-Related
prudent years,1,Dance-Related
money cares,1,Dance-Related
ran all,1,Short Phrase
mind ran,1,Dance-Related
new ease,1,Short Phrase
singing shook,1,Dance-Related
quicken boughs,1,Short Phrase
woven roofs,1,Short Phrase
faery vows,1,Short Phrase
laden seas,1,Short Phrase
side trees,1,Short Phrase
side trees keep murmuring,1,Long Phrase
trees keep,1,Short Phrase
flaming circle,1,Short Phrase
ever grieves,1,Short Phrase
half hidden,1,Short Phrase
roots half,1,Short Phrase
blackened leaves,1,Short Phrase
broken boughs,1,Short Phrase
image grows,1,Dance-Related
fatal image,1,Dance-Related
only gaze,1,Short Phrase
subtle guile,1,Short Phrase
tender care,1,Short Phrase
grow full,1,Dance-Related
shaken hair,1,Dance-Related
gentle strife,1,Short Phrase
keep murmuring,1,Short Phrase
bewildered branches,1,Dance-Related
wizard song,1,Dance-Related
leafy head,1,Dance-Related
planted quiet,1,Short Phrase
hidden root,1,Short Phrase
merry light,1,Short Phrase
changing colours,1,Short Phrase
trembling flowers,1,Short Phrase
branches start,1,Short Phrase
holy branches,1,Short Phrase
growing there,1,Short Phrase
holy tree,1,Short Phrase
things turn,1,Dance-Related
dim glass,1,Short Phrase
demons hold,1,Dance-Related
outer weariness,1,Short Phrase
unkind,1,Single Word
bought,1,Single Word
bartered,1,Single Word
unresting,1,Single Word
outer,1,Single Word
grieves,1,Single Word
driven,1,Single Word
blackened,1,Single Word
fatal,1,Single Word
subtle,1,Single Word
looking,1,Single Word
borne,1,Single Word
winged,1,Single Word
bewildered,1,Dance-Related
given,1,Single Word
merry,1,Single Word
dowered,1,Single Word
trembling,1,Single Word
start,1,Single Word
gaze no,1,Short Phrase
tender eyes,1,Short Phrase
souls bartered,1,Short Phrase
see men,1,Dance-Related
unresting thought,1,Short Phrase
broken branches,1,Short Phrase
least,1,Single Word
wrapped,1,Single Word
bleed,1,Single Word
came once,1,Short Phrase
moths came,1,Short Phrase
sparrow chirp,1,Short Phrase
leaves shook,1,Short Phrase
millions grew,1,Short Phrase
stars began,1,Short Phrase
hour went,1,Short Phrase
fell asleep,1,Short Phrase
body spake,1,Short Phrase
people die,1,Dance-Related
man sent,1,Dance-Related
sods lay,1,Short Phrase
green sods,1,Short Phrase
weary night,1,Short Phrase
wherefore,1,Single Word
known faces,1,Short Phrase
poplar tree,1,Short Phrase
gone by,1,Dance-Related
old days long gone by,1,Dance-Related
long gone,1,Dance-Related
days long gone by,1,Dance-Related
days long,1,Short Phrase
old days long gone,1,Dance-Related
old days,1,Short Phrase
murmur ye,1,Short Phrase
wherefore murmur,1,Short Phrase
moths came once more,1,Dance-Related
stood upright,1,Dance-Related
swayed,1,Dance-Related
little care,1,Short Phrase
ago,1,Dance-Related
roused,1,Single Word
upright,1,Dance-Related
whispered,1,Single Word
covered,1,Single Word
peep,1,Single Word
fell,1,Single Word
prayed,1,Single Word
spake,1,Single Word
forgive,1,Single Word
grieve,1,Single Word
nodded,1,Single Word
had pity,1,Short Phrase
purple robes,1,Short Phrase
great angels,1,Short Phrase
as merry,1,Short Phrase
grief swayed,1,Dance-Related
hour ago,1,Dance-Related
man dead,1,Dance-Related
come again,1,Short Phrase
wife opened,1,Short Phrase
sick man,1,Dance-Related
rocky lane,1,Short Phrase
never rode,1,Short Phrase
rode now,1,Short Phrase
deep wood,1,Short Phrase
go drive,1,Dance-Related
timid,1,Single Word
long ships loose thought,1,Long Phrase
clean,1,Single Word
hears,1,Dance-Related
call,1,Single Word
blown,1,Single Word
unfurled,1,Single Word
tall,1,Single Word
longer hear,1,Dance-Related
same white,1,Short Phrase
last defeated,1,Short Phrase
equal fate,1,Short Phrase
loose thought,1,Short Phrase
ships loose,1,Short Phrase
long ships,1,Short Phrase
evening full,1,Dance-Related
gray sea,1,Short Phrase
grown sad,1,Short Phrase
far thing,1,Dance-Related
sweet far,1,Dance-Related
heard ring,1,Dance-Related
dim tides,1,Short Phrase
mystery tell,1,Short Phrase
gray ships,1,Short Phrase
long gray,1,Short Phrase
sad lips,1,Short Phrase
starry mirth,1,Short Phrase
sought more,1,Dance-Related
smile,1,Single Word
wage,1,Single Word
insatiable,1,Single Word
claimed,1,Single Word
cricket sings,1,Dance-Related
dropping slow,1,Dance-Related
peace there,1,Short Phrase
live alone,1,Dance-Related
honey bee,1,Dance-Related
have there,1,Short Phrase
bean rows,1,Short Phrase
wattles made,1,Short Phrase
build there,1,Short Phrase
cabin build,1,Short Phrase
small cabin build there,1,Long Phrase
small cabin,1,Short Phrase
rest,1,Single Word
bridal,1,Single Word
rest far,1,Short Phrase
stars above,1,Short Phrase
dropping hours,1,Short Phrase
long dew,1,Short Phrase
bridal sleep,1,Short Phrase
same,1,Single Word
defeated,1,Single Word
share,1,Single Word
wait,1,Single Word
loose,1,Single Word
calls,1,Single Word
pale dawn,1,Short Phrase
singing past,1,Dance-Related
woven silence,1,Short Phrase
folk seeing,1,Dance-Related
deeds forget,1,Short Phrase
grassy,1,Single Word
lingered,1,Single Word
kind,1,Single Word
betide,1,Single Word
passes,1,Single Word
wandering feet,1,Dance-Related
grassy road,1,Short Phrase
dim abode,1,Short Phrase
lonely face,1,Dance-Related
passing stars,1,Dance-Related
wintry race,1,Short Phrase
pale waters,1,Short Phrase
give place,1,Short Phrase
passing by,1,Dance-Related
labouring world,1,Short Phrase
children died,1,Dance-Related
funeral gleam,1,Short Phrase
high funeral,1,Dance-Related
new wonder,1,Short Phrase
mournful pride,1,Short Phrase
red lips,1,Short Phrase
beauty passes,1,Short Phrase
field mouse,1,Short Phrase
silver sandalled,1,Dance-Related
go weave,1,Dance-Related
stars tell,1,Short Phrase
quiet shade,1,Dance-Related
come at,1,Short Phrase
swept hearth,1,Dance-Related
never cease,1,Short Phrase
love sing,1,Dance-Related
hears love,1,Dance-Related
refuge holds,1,Dance-Related
never done,1,Dance-Related
battles never,1,Short Phrase
hair gather,1,Dance-Related
dabbled hair,1,Short Phrase
bell buoyed,1,Short Phrase
flap unfurled,1,Short Phrase
tall thought,1,Short Phrase
rosy,1,Single Word
saying,1,Single Word
led,1,Single Word
bow,1,Single Word
brooding,1,Dance-Related
post,1,Single Word
met,1,Single Word
rosy peace,1,Short Phrase
softly make,1,Short Phrase
warfare cease,1,Short Phrase
gentle ways,1,Short Phrase
great town,1,Short Phrase
at last,1,Short Phrase
purple glow,1,Dance-Related
always night,1,Short Phrase
wary,1,Dance-Related
numberless islands,1,Dance-Related
indifferent stars,1,Short Phrase
cypress round,1,Dance-Related
planted cypress,1,Short Phrase
accustomed hand,1,Dance-Related
strange place,1,Short Phrase
haunted,1,Single Word
awaked,1,Single Word
flee,1,Single Word
only white,1,Short Phrase
soon far,1,Short Phrase
sorrow come,1,Short Phrase
surely forget,1,Short Phrase
wandering foam,1,Dance-Related
hear lake,1,Dance-Related
lingers hung,1,Short Phrase
dew dabbled,1,Short Phrase
weariness comes,1,Short Phrase
overhead,1,Dance-Related
sadly,1,Single Word
glowing,1,Dance-Related
bending,1,Single Word
false,1,Single Word
nodding,1,Single Word
mountains overhead,1,Dance-Related
love fled,1,Short Phrase
little sadly,1,Short Phrase
more beautiful,1,Dance-Related
first love,1,Short Phrase
now lies,1,Short Phrase
accustomed,1,Single Word
oaken,1,Single Word
scented,1,Single Word
needs,1,Single Word
embroidered,1,Single Word
gold,1,Dance-Related
go glimmering,1,Dance-Related
feet go,1,Dance-Related
white feet go glimmering,1,Dance-Related
timid grace,1,Short Phrase
old timid,1,Short Phrase
footsteps wary,1,Dance-Related
long hair,1,Short Phrase
oaken press,1,Short Phrase
scented oaken,1,Short Phrase
sad beauty,1,Short Phrase
embroidered dress,1,Short Phrase
gold embroidered,1,Dance-Related
laid side,1,Short Phrase
feet laid,1,Short Phrase
coloured pride,1,Short Phrase
heavy days,1,Dance-Related
beautiful,1,Single Word
carved,1,Single Word
wondering,1,Single Word
nailed,1,Single Word
glowing bars,1,Dance-Related
changing face,1,Short Phrase
pilgrim soul,1,Short Phrase
blowing,1,Single Word
buying,1,Single Word
telling,1,Single Word
gray waters,1,Short Phrase
hazel grove,1,Short Phrase
shadowy hazel,1,Short Phrase
ever blowing,1,Short Phrase
cold wet winds ever blowing,1,Long Phrase
winds ever,1,Short Phrase
wet winds ever blowing,1,Long Phrase
wet winds,1,Short Phrase
cold wet winds ever,1,Long Phrase
cold wet,1,Short Phrase
whimpering,1,Single Word
stooping,1,Single Word
so good,1,Dance-Related
whimpering dead,1,Short Phrase
heur ve,1,Short Phrase
lapping,1,Single Word
innisfree,1,Single Word
deep heart,1,Dance-Related
pavements gray,1,Short Phrase
low sounds,1,Short Phrase
water lapping,1,Short Phrase
lake water,1,Short Phrase
hear lake water lapping,1,Dance-Related
selling,1,Single Word
shadowy,1,Single Word
man loved,1,Dance-Related
hazel,1,Single Word
love false,1,Short Phrase
glad grace,1,Short Phrase
many loved,1,Dance-Related
shadows deep,1,Short Phrase
had once,1,Short Phrase
eyes had,1,Short Phrase
soft look,1,Short Phrase
slowly read,1,Dance-Related
unquiet leaves,1,Short Phrase
loud chaunting,1,Dance-Related
pale moon,1,Short Phrase
sparrows warring,1,Short Phrase
myriad years,1,Dance-Related
labouring ships,1,Short Phrase
mournful lips,1,Short Phrase
red mournful,1,Short Phrase
away earth,1,Short Phrase
hid away,1,Short Phrase
singing leaves,1,Dance-Related
loud song,1,Dance-Related
laden sky,1,Short Phrase
round moon,1,Dance-Related
full round,1,Dance-Related
threaten,1,Single Word
flowing,1,Single Word
true brother,1,Short Phrase
any less,1,Short Phrase
history began,1,Short Phrase
loves await,1,Short Phrase
await,1,Single Word
limped,1,Single Word
lame,1,Single Word
often,1,Single Word
held,1,Single Word
faded,1,Single Word
seem,1,Dance-Related
together,1,Single Word
pendulous,1,Single Word
continual farewell,1,Short Phrase
lies eternity,1,Short Phrase
unrepining hours,1,Short Phrase
other loves,1,Short Phrase
most secret spirit grew,1,Long Phrase
dead leaves,1,Short Phrase
thrust dead,1,Short Phrase
lame limped,1,Short Phrase
rabbit old,1,Short Phrase
faint meteors,1,Short Phrase
yellow leaves,1,Short Phrase
wandering hearts,1,Dance-Related
often worn,1,Short Phrase
hand held,1,Dance-Related
faded leaves,1,Short Phrase
first kiss,1,Short Phrase
stars seem,1,Dance-Related
hate,1,Single Word
continual,1,Single Word
cushioned otter,1,Dance-Related
otter skin,1,Short Phrase
bubbling mire,1,Short Phrase
hands won,1,Dance-Related
rolling vale,1,Short Phrase
brazen battle,1,Short Phrase
loud brazen,1,Dance-Related
breaking men,1,Short Phrase
hollow galleys,1,Short Phrase
beaked hollow,1,Short Phrase
pirates drove,1,Short Phrase
inland valleys,1,Dance-Related
herdsman came,1,Dance-Related
sweet wine,1,Dance-Related
drank sweet,1,Dance-Related
northern cold,1,Short Phrase
drives away,1,Short Phrase
fading head,1,Dance-Related
air increased,1,Short Phrase
wild fowl,1,Short Phrase
fatter day,1,Short Phrase
grew fatter,1,Short Phrase
fields grew fatter day,1,Long Phrase
fields grew,1,Short Phrase
war away,1,Short Phrase
drove tumult,1,Short Phrase
troubling seamen,1,Short Phrase
falls asleep,1,Short Phrase
tired child,1,Short Phrase
poor tired,1,Short Phrase
burning heart,1,Dance-Related
love grows,1,Short Phrase
bows apart,1,Short Phrase
quiet bows,1,Short Phrase
softly lip,1,Short Phrase
murmuring softly,1,Short Phrase
woven hands,1,Dance-Related
wander ever,1,Short Phrase
lonely ship,1,Dance-Related
enamelled sea,1,Short Phrase
own image,1,Dance-Related
parrot sways,1,Dance-Related
smooth lawn,1,Short Phrase
peahens dance,1,Dance-Related
drop tranquillity,1,Short Phrase
boughs drop,1,Short Phrase
great boughs drop tranquillity,1,Long Phrase
great boughs,1,Short Phrase
island dreams,1,Dance-Related
languid,1,Single Word
waveth,1,Single Word
conceive,1,Single Word
pray,1,Single Word
sliding,1,Single Word
tinkling,1,Single Word
hangeth,1,Single Word
indian star,1,Short Phrase
heavy boughs,1,Dance-Related
pendulous lids,1,Short Phrase
burnished dove,1,Short Phrase
never weary,1,Short Phrase
ere,1,Single Word
beset,1,Single Word
drooping brow,1,Short Phrase
passion forget,1,Short Phrase
souls now,1,Short Phrase
sad souls,1,Short Phrase
strawberry leaves,1,Short Phrase
wet wild,1,Short Phrase
barley sheaves,1,Short Phrase
long leaves,1,Short Phrase
feathered,1,Single Word
rove,1,Single Word
moans,1,Single Word
burnished,1,Single Word
gleams,1,Single Word
indian,1,Single Word
lip,1,Single Word
moor,1,Single Word
enamelled,1,Single Word
raging,1,Single Word
sways,1,Dance-Related
drowsy blaze,1,Short Phrase
vapoury footsole,1,Short Phrase
feathered ways,1,Short Phrase
most secret,1,Short Phrase
secret spirit,1,Short Phrase
strong,1,Single Word
fitful,1,Dance-Related
torn,1,Single Word
quenched,1,Single Word
wire,1,Single Word
dying,1,Single Word
shakes,1,Dance-Related
trolled,1,Single Word
voiced,1,Single Word
unhuman,1,Dance-Related
bore,1,Single Word
deserted,1,Single Word
tremendous,1,Single Word
followed,1,Single Word
slumbered,1,Single Word
spirit grew,1,Short Phrase
bold,1,Single Word
wave,1,Single Word
shiver,1,Single Word
gluts,1,Single Word
rolled,1,Single Word
waved,1,Single Word
rushes,1,Single Word
flew,1,Single Word
gleamed,1,Single Word
fluttered,1,Single Word
rushy,1,Dance-Related
aloud,1,Dance-Related
leafy island,1,Dance-Related
flapping herons,1,Short Phrase
herons wake,1,Short Phrase
drowsy water,1,Short Phrase
flapping,1,Single Word
dips,1,Single Word
world more,1,Dance-Related
brown mice,1,Short Phrase
sing peace,1,Dance-Related
warm hillside,1,Short Phrase
young streams,1,Short Phrase
leaning softly,1,Short Phrase
unquiet dreams,1,Dance-Related
slumbering trout,1,Short Phrase
water gushes,1,Short Phrase
wandering water,1,Dance-Related
frothy bubbles,1,Short Phrase
taken flight,1,Short Phrase
mingling glances,1,Short Phrase
mingling hands,1,Dance-Related
olden dances,1,Dance-Related
weaving olden,1,Dance-Related
far off,1,Short Phrase
gray sands,1,Short Phrase
moonlight glosses,1,Short Phrase
stolen cherries,1,Short Phrase
reddest stolen,1,Short Phrase
faery vats,1,Short Phrase
water rats,1,Short Phrase
bubbling,1,Single Word
trampled,1,Single Word
breaking,1,Single Word
tremendous feet,1,Short Phrase
tiptoe up,1,Short Phrase
harvest moon,1,Short Phrase
little town,1,Short Phrase
